id,name,category,description,price,trend_growth,competition_level,estimated_profit_margin
1,Semelles Chauffantes USB,health,Semelles chauffantes rechargeables via USB pour pieds froids – idéales pour l'hiver marocain,189,0.8,0.3,0.6
2,Masseur Cervical Électrique,health,Masseur cervical électrique avec chaleur infrarouge – soulage les douleurs du cou et des épaules,249,0.72,0.45,0.55
3,Montre Connectée Sport,gadgets,Smartwatch multifonction avec suivi cardiaque GPS et notifications – compatible Android et iOS,199,0.65,0.7,0.4
4,Sac à Dos Anti-Vol USB,fashion,Sac à dos imperméable anti-vol avec port USB intégré – parfait pour étudiants et voyageurs,299,0.6,0.5,0.5
5,Crème Argan Maroc,cosmetics,Crème hydratante à l'huile d'argan 100% naturelle du Maroc – pour visage et corps,89,0.55,0.6,0.65
6,Robot Cuisine Multifonction,kitchen,Robot de cuisine 12-en-1 – hacher mixer pétrir et plus – capacité 5L moteur puissant,449,0.5,0.55,0.45
7,Lampe LED Solaire Jardin,home,Lampe solaire LED pour jardin et terrasse – résistante à l'eau 8h d'autonomie,149,0.75,0.4,0.55
8,Ceinture Amincissante Chauffante,health,Ceinture chauffante vibrante pour abdomen – stimule la circulation et réduit la graisse,169,0.9,0.25,0.7
9,Chargeur Solaire Portable,gadgets,Chargeur solaire pliable 20000mAh – charge 3 appareils simultanément idéal pour voyages,179,0.68,0.35,0.6
10,Tapis de Yoga Antidérapant,health,Tapis de yoga antidérapant extra-épais 6mm – avec guide de postures offert,129,0.45,0.65,0.4
11,Huile de Nigelle Maroc,cosmetics,Huile de nigelle (Habba Sawda) 100% pure pressée à froid – usage alimentaire et cosmétique,79,0.5,0.7,0.6
12,Organisateur Cuisine Mural,kitchen,Organisateur mural en acier inoxydable pour cuisine – porte-ustensiles et épices sans perçage,99,0.4,0.6,0.45
13,Éclairage LED Voiture,gadgets,Kit d'éclairage LED RGB pour intérieur voiture – télécommande + app – 16 millions de couleurs,129,0.55,0.8,0.35
14,Miroir Maquillage LED,cosmetics,Miroir de maquillage grossissant 10x avec éclairage LED tactile – 3 modes lumière,199,0.7,0.4,0.55
15,Sneakers Sport Tendance,fashion,Sneakers running légères et respirantes – semelle anti-choc – tendance streetwear Maroc 2024,259,0.6,0.75,0.4
